Time,Open,High,Low,Close,Volume,Complete
2019-05-12 21:00:00+00:00,1.12348,1.12636,1.12222,1.12231,14941,True
2019-05-13 21:00:00+00:00,1.12227,1.12438,1.12012,1.1204,12471,True
2019-05-14 21:00:00+00:00,1.1204,1.12246,1.1178,1.12017,15907,True
2019-05-15 21:00:00+00:00,1.12017,1.1224,1.11664,1.11736,12018,True
2019-05-16 21:00:00+00:00,1.11747,1.11843,1.11553,1.11574,13348,True
2019-05-19 21:00:00+00:00,1.1161,1.11748,1.11508,1.11659,9247,True
2019-05-20 21:00:00+00:00,1.11664,1.1188,1.1142,1.11613,12979,True
2019-05-21 21:00:00+00:00,1.11606,1.11802,1.11488,1.11507,9933,True
2019-05-22 21:00:00+00:00,1.11507,1.11876,1.11072,1.11818,16500,True
2019-05-23 21:00:00+00:00,1.11812,1.12121,1.11737,1.12038,11407,True
2019-05-26 21:00:00+00:00,1.12099,1.12152,1.11872,1.11932,4665,True
2019-05-27 21:00:00+00:00,1.11932,1.11984,1.11594,1.11602,11949,True
2019-05-28 21:00:00+00:00,1.11608,1.11724,1.11244,1.1131,13410,True
2019-05-29 21:00:00+00:00,1.11322,1.11433,1.11162,1.11292,10043,True
2019-05-30 21:00:00+00:00,1.11292,1.11797,1.11252,1.11688,17523,True
2019-06-02 21:00:00+00:00,1.11664,1.1262,1.11603,1.12416,17768,True
2019-06-03 21:00:00+00:00,1.12416,1.12774,1.12265,1.1252,21230,True
2019-06-04 21:00:00+00:00,1.12514,1.13068,1.12198,1.1221,24598,True
2019-06-05 21:00:00+00:00,1.1222,1.1309,1.12018,1.12754,27366,True
2019-06-06 21:00:00+00:00,1.1278,1.13478,1.12514,1.13333,21464,True
2019-06-09 21:00:00+00:00,1.13213,1.13311,1.12901,1.13116,12089,True
2019-06-10 21:00:00+00:00,1.13119,1.13376,1.13013,1.1326,15691,True
2019-06-11 21:00:00+00:00,1.1327,1.13434,1.12825,1.12874,16707,True
2019-06-12 21:00:00+00:00,1.12878,1.13036,1.12686,1.12764,12847,True
2019-06-13 21:00:00+00:00,1.12772,1.12892,1.12025,1.12096,17189,True
2019-06-16 21:00:00+00:00,1.12108,1.1247,1.12039,1.1218,10145,True
2019-06-17 21:00:00+00:00,1.12186,1.12428,1.11816,1.11942,24577,True
2019-06-18 21:00:00+00:00,1.11936,1.1254,1.11873,1.12262,23981,True
2019-06-19 21:00:00+00:00,1.12264,1.13174,1.12264,1.12916,23056,True
2019-06-20 21:00:00+00:00,1.12931,1.13778,1.12831,1.13688,22908,True
2019-06-23 21:00:00+00:00,1.13719,1.14041,1.13672,1.13988,14734,True
2019-06-24 21:00:00+00:00,1.13984,1.14122,1.13442,1.13672,24429,True
2019-06-25 21:00:00+00:00,1.13672,1.13914,1.13476,1.13686,18436,True
2019-06-26 21:00:00+00:00,1.1369,1.13815,1.13479,1.13694,16530,True
2019-06-27 21:00:00+00:00,1.13688,1.13935,1.13508,1.13721,15968,True
2019-06-30 21:00:00+00:00,1.13614,1.13711,1.12812,1.12856,18780,True
2019-07-01 21:00:00+00:00,1.12856,1.13214,1.12752,1.1286,15567,True
2019-07-02 21:00:00+00:00,1.1286,1.13123,1.12689,1.1277,14593,True
2019-07-03 21:00:00+00:00,1.1278,1.12952,1.12733,1.12847,5731,True
2019-07-04 21:00:00+00:00,1.12841,1.12878,1.12076,1.12255,15161,True
2019-07-07 21:00:00+00:00,1.12248,1.12344,1.12071,1.12144,9091,True
2019-07-08 21:00:00+00:00,1.12144,1.12188,1.11935,1.12078,9269,True
2019-07-09 21:00:00+00:00,1.12075,1.12643,1.1202,1.12505,16374,True
2019-07-10 21:00:00+00:00,1.12516,1.12858,1.12454,1.12537,16576,True
2019-07-11 21:00:00+00:00,1.12542,1.1275,1.12382,1.12706,12671,True
2019-07-14 21:00:00+00:00,1.12705,1.12839,1.12532,1.12578,9183,True
2019-07-15 21:00:00+00:00,1.12578,1.12635,1.1202,1.12102,12021,True
2019-07-16 21:00:00+00:00,1.12105,1.12336,1.11998,1.12242,9253,True
2019-07-17 21:00:00+00:00,1.12246,1.12804,1.12052,1.1277,17359,True
2019-07-18 21:00:00+00:00,1.1277,1.12821,1.12036,1.12206,16321,True
2019-07-21 21:00:00+00:00,1.12175,1.12254,1.12063,1.12089,9204,True
